6166000.0,25000.0
596000.0,974
824000.0,611
254000.0,537
228000.0,287
5874000.0,6483
158000.0,298
81000.0,13
4645000.0,13000.0
9170,0
58000.0,30
109000.0,219
280000.0,62
40000.0,200
953000.0,349
556000.0,704
192000.0,565
72000.0,7
391000.0,122
507000.0,781
2890000.0,7915
260000.0,746
614,6
475000.0,1203
376000.0,2196
2812,33
24000.0,313
121000.0,200
5614,148
20000.0,10
186000.0,147
6817,6
40000.0,202
880000.0,75
5537,1
24000.0,41
58000.0,59
490000.0,1374
184000.0,110
495000.0,263
1193,1
300000.0,4
2812,33
376000.0,2196
24000.0,313
121000.0,200
40000.0,202
5614,148
24000.0,41
20000.0,10
184000.0,110
186000.0,147
880000.0,75
29000.0,20
6817,6
56000.0,15
58000.0,59
521000.0,777
490000.0,1374
24000.0,8
5537,1
495000.0,263
146000.0,231
1193,1
300000.0,4
807000.0,225
159000.0,85
202000.0,445
589000.0,457
45000.0,9
393000.0,358
31000.0,7
54000.0,38
185000.0,27
7890,0
72000.0,49
253000.0,78
239000.0,592
109000.0,446
1242000.0,298
514000.0,290
69000.0,2
15000.0,27
10000.0,31
300000.0,4
807000.0,225
159000.0,85
728000.0,595
202000.0,445
235000.0,220
242000.0,681
589000.0,457
45000.0,9
393000.0,358
514000.0,290
31000.0,7
59000.0,55
54000.0,38
1247000.0,408
185000.0,27
67000.0,67
7890,0
72000.0,49
253000.0,78
109000.0,446
1242000.0,298
70000.0,338
69000.0,2
15000.0,27
700000.0,1170
10000.0,31
7154,15
24000.0,275
434000.0,310
19000.0,47
200000.0,614
643000.0,62
10000.0,1
913000.0,4450
147000.0,142
80000.0,93
530,1
1377,0
13000.0,0
65000.0,10
554000.0,293
185000.0,27
15000.0,27
200000.0,614
7890,0
49000.0,3
31000.0,7
24000.0,275
59000.0,91
253000.0,78
300000.0,4
147000.0,142
117000.0,28
72000.0,49
159000.0,85
109000.0,446
84000.0,18
98000.0,127
10000.0,0
71000.0,558
419000.0,38
96000.0,32
9728,2
434000.0,310
491,2
80000.0,93
241000.0,967
144000.0,17
59000.0,32
129000.0,35
648000.0,877
12000.0,9
69000.0,2
57000.0,51
33000.0,9
298,1
8839,1
1248,1
171000.0,219
75000.0,278
1014,0
78000.0,24
288000.0,71
144000.0,17
59000.0,32
18000.0,8
55000.0,54
70000.0,338
475000.0,311
9728,2
241000.0,967
13000.0,0
434000.0,310
419000.0,38
129000.0,35
296000.0,392
491,2
98000.0,127
162000.0,505
34000.0,48
59000.0,91
700000.0,1170
298,1
12000.0,9
71000.0,558
56000.0,4
288000.0,71
182000.0,689
335000.0,166
87000.0,25
254000.0,27
3116,0
17000.0,209
202000.0,306
158000.0,72
65000.0,10
51000.0,13
554000.0,293
1248,1
5420,0
495000.0,263
272,1
5156,13
643000.0,62
178000.0,70
52000.0,31
412000.0,26
335000.0,166
254000.0,27
207000.0,351
55000.0,54
534,0
180000.0,221
17000.0,209
3116,0
8102,20
158000.0,72
283000.0,412
1242000.0,298
65000.0,10
105000.0,13
554000.0,293
260000.0,378
111000.0,170
495000.0,263
643000.0,62
178000.0,70
26000.0,68
1106,5
296000.0,392
93000.0,156
670,0
19000.0,56
520000.0,16
821,10
272,1
5406,1
9522,119
156000.0,295
34000.0,48
188000.0,31
3643,1
42000.0,11
27000.0,30
63000.0,35
648,0
19000.0,19
260000.0,378
111000.0,170
5423,0
495000.0,263
5156,13
643000.0,62
178000.0,70
26000.0,68
1106,5
93000.0,156
670,0
534,0
162000.0,11
19000.0,56
520000.0,16
5406,1
16000.0,8
821,10
272,1
21000.0,9
9522,119
64000.0,9
151000.0,6
156000.0,295
188000.0,31
3644,1
42000.0,11
27000.0,30
63000.0,35
648,0
19000.0,19
101000.0,20
42000.0,31
102000.0,54
161000.0,298
15000.0,5
21000.0,5
9817,2
53000.0,60
228000.0,793
390000.0,850
114000.0,254
188000.0,31
3644,1
42000.0,11
27000.0,30
63000.0,35
648,0
19000.0,19
101000.0,20
42000.0,31
102000.0,54
161000.0,298
15000.0,5
21000.0,5
9817,2
53000.0,60
228000.0,793
390000.0,850
114000.0,254
13000.0,35
662,0
25000.0,20
4300,0
98000.0,19
6263,1
6707,1
71000.0,55
20000.0,6
1574,1
3425,0
15000.0,22
32000.0,54
551000.0,340
489000.0,39
25000.0,7
70000.0,13
85000.0,56
472000.0,146
253000.0,38
225000.0,883
297000.0,19
21000.0,46
15000.0,28
6707,1
71000.0,55
20000.0,6
1574,1
3425,0
15000.0,22
32000.0,54
551000.0,340
489000.0,39
25000.0,7
70000.0,13
85000.0,56
472000.0,146
253000.0,38
225000.0,883
297000.0,19
21000.0,46
15000.0,28
16000.0,1
232000.0,22
57000.0,136
215000.0,32
118000.0,48
75000.0,86
211000.0,8
93000.0,12
16000.0,18
13000.0,147
187000.0,47
4733,5
3147,1
1836,1
33000.0,44
109000.0,144
162000.0,214
